samplename	condition
7046-004-001	normal
7046-004-003	normal
7046-004-004	normal
7046-004-005	normal
7046-004-006	normal
7046-004-007	normal
7046-004-008	normal
7046-004-011	normal
7046-004-012	normal
7046-004-013	normal
7046-004-014	normal
7046-004-015	normal
7046-004-016	normal
7046-004-019	normal
7046-004-020	normal
7046-004-021	normal
7046-004-022	normal
7046-004-024	normal
7046-004-025	normal
7046-004-026	normal
7046-004-027	normal
7046-004-031	normal
7046-004-032	normal
7046-004-033	normal
7046-004-035	normal
7046-004-036	normal
7046-004-037	normal
7046-004-038	normal
7046-004-039	normal
7046-004-040	normal
7046-004-041	cancer
7046-004-042	cancer
7046-004-043	cancer
7046-004-044	cancer
7046-004-045	cancer
7046-004-047	cancer
7046-004-048	cancer
7046-004-049	cancer
7046-004-050	cancer
7046-004-051	cancer
7046-004-052	cancer
7046-004-053	cancer
7046-004-054	cancer
7046-004-055	cancer
7046-004-056	cancer
7046-004-057	cancer
7046-004-058	cancer
7046-004-059	cancer
7046-004-060	cancer
7046-004-061	cancer
7046-004-062	cancer
7046-004-063	cancer
7046-004-064	cancer
7046-004-065	cancer
7046-004-067	cancer
7046-004-068	cancer
7046-004-069	cancer
7046-004-070	cancer
7046-004-071	cancer
7046-004-072	cancer
7046-004-073	cancer
7046-004-074	cancer
7046-004-075	cancer
7046-004-076	cancer
7046-004-077	cancer
7046-004-078	cancer
7046-004-079	cancer
7046-004-081	cancer
7046-004-082	cancer
7046-004-125	normal
7046-004-126	normal
7046-004-130	cancer
7046-004-131	cancer
7046-004-132	cancer
7046-004-133	cancer
7046-004-134	cancer
7046-004-135	cancer
7046-004-136	cancer
7046-004-137	cancer
7046-004-138	cancer
7046-004-139	cancer
7046-004-140	normal
7046-004-141	normal
7046-004-143	normal
7046-004-144	normal
7046-004-145	normal
7046-004-147	normal
7046-004-148	normal
7046-004-149	normal
7046-004-150	cancer
7046-004-151	normal
7046-004-152	normal
